Athlete,Country
Li Feng-Ying,Chinese Taipei
Lin Weining,China
Karnam Malleswari,India
Georgi Markov,Bulgaria
ErzsÇbet M†rkus-Peresztegi,Hungary
Arsen Melikyan,Armenia
Viktor Mitrou,Greece
Tara Nott-Cunningham,United States
Ruth Ogbeifo,Nigeria
Gennady Oleshchuk,Belarus
Aleksey Petrov,Russia
Leonidas Sabanis,Greece
Asaad Said Saif,Qatar
Winarni Binti Slamet,Indonesia
Khassaraporn Suta,Thailand
Hossein Tavakoli,Iran
Alan Tsagaev,Bulgaria
Mar°a Isabel Urrutia,Colombia
Ronny Weller,Germany
Wu Wenxiong,China
Yang Xia,China
Zhan Xugang,China
Matteo Aicardi,Italy
Milan Aleksic,Serbia
Betsey Armstrong,United States
Marta Bach,Spain
Samir Barac,Croatia
Gemma Beadsworth,Australia
Andrea Blas,Spain
Miho Bo?kovic,Croatia
Victoria Brown,Australia
Ivan Buljuba?ic,Croatia
Damir Buric,Croatia
Andro Bu?lje,Croatia
Kami Craig,United States
Nik?a Dobud,Croatia
Annika Dries,United States
Anna Espar,Spain
Laura Ester,Spain
Maurizio Felugo,Italy
Pietro Figlioli,Italy
Filip Filipovic,Serbia
Deni Fiorentini,Italy
Valentino Gallo,Italy
Maica Garc°a,Spain
Massimo Giacoppo,Italy
Alex Giorgetti,Italy
Niccolï Gitto,Italy
?ivko Gocic,Serbia
